Customer Remarks,CSAT Score,cleaned_remarks
Good ??,5,good
Problem solving,5,problem solving
Excellent support ,5,excellent support
  vary good ,5,vary good
"Customer support   said he registered a complaint and I would receive an email, but I don't see it till now.",1,customer support said registered complaint would receive email see till
Happy ,5,happy
Prodect quantity 36 noted Shopzilla but received 22 pice.,2,prodect quantity 36 noted shopzilla received 22 pice
"Someone frp, Shopzilla came and picked up the return in the morning and came back in the evening and returned the product to the maid in our absence saying that a complaint has to be filed for return.  ",3,someone frp shopzilla came picked return morning came back evening returned product maid absence saying complaint filed return
Some products having no return policies.make those returnable with reasons.,5,products no return policies make returnable reasons
Good,5,good
Very pathetic after sales service specially installation servicess,5,pathetic sales service specially installation servicess
You excel at serving your customers. Great job!,5,excel serving customers great job
No action taken by Shopzilla. my product is still under replacement.not a single delivery boy came and take the product back.very pathetic behaviour from Shopzilla.i must walk legally against the fraud scam by Shopzilla ,1,no action taken shopzilla product still replacement not single delivery boy came take product back pathetic behaviour shopzilla must walk legally fraud scam shopzilla
I m happy with customer support executive behaviour ,4,happy customer support executive behaviour
Thanks ,4,thanks
Feeling good ,5,feeling good
Nice,4,nice
Worst e commerce site ,1,worst e commerce site
"If Shopzilla cant help in sharing the same details available in the Shopzilla App over an email, I believe then what can be expected in terms of more help needed",5,shopzilla cant help sharing details available shopzilla app email believe expected terms help needed
Satisfied with customer care service ,5,satisfied customer care service
The coustom support very good.,5,coustom support good
Good but there should be less waiting for time ,4,good less waiting time
product is not working,1,product not working
  service is good ??,5,service good
Ye mutually beneficial ,5,ye mutually beneficial
Thanks ,5,thanks
I order 30 July a vesco Drift 24T Bicycl it's delivered time and date are 07/08/2023 But still 09/08/2023. Not any information come out form Shopzilla teems.but I also paid money. ,1,order 30 july vesco drift 24t bicycl delivered time date 07 08 2023 still 09 08 2023 not information come form shopzilla teems also paid money
Very Good,5,good
Please reorder my cancel order,1,please reorder cancel order
Shopzilla is never helpful nowadays and associates are making fake promises always no worries you are unable to resolve my issue than I'm used to help you with good feedback ??,1,shopzilla never helpful nowadays associates making fake promises always no worries unable resolve issue used help good feedback
Good,5,good
I am not getting option to download the Invoice for the delivered orders ,3,not getting option download invoice delivered orders
Good response from customer care executive,4,good response customer care executive
All okay ,5,okay
display proper delivery tracking information of grocery items on app and websites ,5,display proper delivery tracking information grocery items app websites
Please hepl consumers to get fullfill there requires ,5,please hepl consumers get fullfill requires
nice,5,nice
Nothing,5,nothing
Product missing related complaint option provide on app.,5,product missing related complaint option provide app
Horrible item,1,horrible item
It was a great experiance while talking to customer service . He helped me with all my issues . Thank you so much,5,great experiance talking customer service helped issues thank much
Not resolved ,1,not resolved
Nice talk you Please my problem solved,5,nice talk please problem solved
Pintu   ,5,pintu
"seller didnt aproved my return request yet a day ago,   otherwise executives are so dedicative, thank you",3,seller didnt aproved return request yet day ago otherwise executives dedicative thank
Thanks ,5,thanks
I m happy... Thanks sumit ,5,happy thanks sumit
Good,5,good
Thanku ,5,thanku
The item if returned to delivery man and it's showing delivery then there is no way to report on APP. The customer help is taking more time to respond. ,5,item returned delivery man showing delivery no way report app customer help taking time respond
Y need my order cancel ,2,need order cancel
"I placed the order gift card order worth 20k on 5th August and the order is still pending, and your customer support executive gave me the wrong information that my refund will be processed within 24 hours and it\u2019s been more than 3 days, worst customer support ever",1,placed order gift card order worth 20k 5th august order still pending customer support executive gave wrong information refund processed within 24 hours u2019s 3 days worst customer support ever
Good service,5,good service
Experience was awesome ?? and thankyou,5,experience awesome thankyou
"Customer is not happy with delay in delivery and wants to cancel, executive not cancelling..worst policy.worst delivery. Pl cancel and initiate refund.",1,customer not happy delay delivery wants cancel executive not cancelling worst policy worst delivery pl cancel initiate refund
Change my wrong product,1,change wrong product
Thanks,4,thanks
Fasten your delivery ,5,fasten delivery
"Product packaging and logistics needs to be improved, most of the time product getting damaged because of bad handling.",3,product packaging logistics needs improved time product getting damaged bad handling
"Need to add the point in mobile  . When people pay extra amount while some mobile testing fail, they not get any kind of receipt or invoice on mail. If someone pay extra on exchange,they must receive the information by Shopzilla.",5,need add point mobile people pay extra amount mobile testing fail not get kind receipt invoice mail someone pay extra exchange must receive information shopzilla
Good,5,good
Good,5,good
Good ,4,good
Good feedback for this customer care ,5,good feedback customer care
Thanks ,5,thanks
Good experience ,4,good experience
Bad service ,1,bad service
Please provide language as malayalam,5,please provide language malayalam
No,4,no
Hii,5,hii
Customer support team not eligible for customer concern ,1,customer support team not eligible customer concern
Problem solved ?,5,problem solved
Nice,5,nice
Good ,5,good
Need more clarity about query resolution process.,5,need clarity query resolution process
Abhi tak koi isu solve nahi kiya ,4,abhi tak koi isu solve nahi kiya
Very good,5,good
exchange ,1,exchange
Good,5,good
Very much good ,5,much good
Still i did not get resolve my issue i am waiting for long hours and days and waiting in call ,1,still not get resolve issue waiting long hours days waiting call
All good ,5,good
Thank you so much,5,thank much
Ok ,5,ok
The best meri problem ache se sune   ,5,best meri problem ache se sune
Nothing ,5,nothing
"The connection between Shopzilla and Shopzilla is nil. Even a small logistics company has proper tracking mechanism and complaint answering mechanism. If something is delivered through Shopzilla, Shopzilla doesn't have any contact details. For open box delivery someone should be there at that place and Shopzilla doesn't promise any date or time of delivery. So if we order something, we should avoid all personal task and wait for that parcel and the worst part is, it gets delayed further again.Please have little responsibility atleast ",1,connection shopzilla shopzilla nil even small logistics company proper tracking mechanism complaint answering mechanism something delivered shopzilla shopzilla contact details open box delivery someone place shopzilla promise date time delivery order something avoid personal task wait parcel worst part gets delayed please little responsibility atleast
Service is good but it is difficult to return any product. It is very time taking and sometimes we need to call customer care many time to resolve our problem. So work on this. ,5,service good difficult return product time taking sometimes need call customer care many time resolve problem work
Enhance the delivery agent response and behaviour,4,enhance delivery agent response behaviour
All services was good ,3,services good
Nothing to improve. Great job always,5,nothing improve great job always
Good ,5,good
Good,5,good
Best,5,best
The product's what I'm receiving was good ??  ,5,product receiving good
Iam very much satisfied the way he speaking ,5,iam much satisfied way speaking
Love ?? you Shopzilla ,5,love shopzilla
Nice,5,nice
Thank you ,5,thank
Very bad customer service ,1,bad customer service
"You guys have no source of information, just sitting there to waste the customer time.Worst Service i have even opted.You guys have made me sure, not to ever use your pathetic services in future.",1,guys no source information sitting waste customer time worst service even opted guys made sure not ever use pathetic services future
Good,5,good
return or replace,1,return replace
i think the product which does not work should be exchanged by Shopzilla,5,think product not work exchanged shopzilla
Ok,5,ok
Very poor customer service,1,poor customer service
Many many thanks ,5,many many thanks
Good,5,good
  aaye bilkul sahi aaye   product galat aaye   return krna hota   me Shopzilla   bahut   product sell  ..Requst grant me sir   product   issue hai only,5,aaye bilkul sahi aaye product galat aaye return krna hota shopzilla bahut product sell requst grant sir product issue hai
your process wastes everyone's time. How come you expect a customer to upload the image of the product that we didn't accept. Please check with delivery person.,1,process wastes everyone time come expect customer upload image product accept please check delivery person
I have problem related order at 10 pm and your customer care person helped me at 10 pm and talk with great respect thanks for your help and support. Excellent service keep it up ??,5,problem related order 10 pm customer care person helped 10 pm talk great respect thanks help support excellent service keep
Need improvement ,5,need improvement
Return ,1,return
?????? thank you ,5,thank
  mere sath call main thaa wo bohut a66aa thaa..or mujha bohut help   haiii...I am very happy ????,5,mere sath call main thaa wo bohut a66aa thaa mujha bohut help haiii happy
Acchi service nahin hai Shopzilla ka,1,acchi service nahin hai shopzilla ka
Thank you ????,5,thank
please solve my problem..,3,please solve problem
  mam was really polite and help full she really make me my tension free i really loved her pronunciation with neat and clear i will give her 10 points she solve my problem ,5,mam really polite help full really make tension free really loved pronunciation neat clear give 10 points solve problem
Good ????,5,good
Okkk,4,okkk
Good job,5,good job
Tottaly waste of reaching Customer. Not at all understanding the customer issues. All are given training to say sorry. Other than that noting.,1,tottaly waste reaching customer not understanding customer issues given training say sorry noting
Was very polite ??,5,polite
Na,4,na
These type of issues should not be reapted .,4,type issues not reapted
Excellent ,5,excellent
Issue is not resolved. I can't return my product at one time still multiple times reached you...long process.....I am not happy with it.,1,issue not resolved return product one time still multiple times reached long process not happy
Some products are affective so check it carefully ,3,products affective check carefully
a lot of thanks,5,lot thanks
Please add more option in returning policy.,5,please add option returning policy
Thank ,5,thank
Shopzilla is not responding to return product. They automatically cancel return request. The service of Shopzilla is very bad.,1,shopzilla not responding return product automatically cancel return request service shopzilla bad
Thank you so much in my halp ,5,thank much halp
Good ,4,good
Bahut bahut shukriya call se baat krne   aapka baat krne ka nature bahut acha thaa mam,2,bahut bahut shukriya call se baat krne aapka baat krne ka nature bahut acha thaa mam
Little bit faster,3,little bit faster
very bat product in service,1,bat product service
"Return request is accepted( 3 times in my case) but then seller cancels request- as as per seller it was open box delivery but in fact the wishmaster didn't inform me about OBD. I have video proof of that as well call recording. Gave all information to customer care executive so twice my return request was initiated but cancelled again. I have g9t used, damaged, old product which may have been manufactured 5-10 yrs back, as there is no tag. This is not expected from Shopzilla ( most trusted and reputed online shopping website).",3,return request accepted 3 times case seller cancels request per seller open box delivery fact wishmaster inform obd video proof well call recording gave information customer care executive twice return request initiated cancelled g9t used damaged old product may manufactured 5 10 yrs back no tag not expected shopzilla trusted reputed online shopping website
Bahut acche   wale,5,bahut acche wale
My product is didn't return or refund in this time...You quickly respond this problem..,3,product return refund time quickly respond problem
I would like to know action. My complaint was delivery executive brought the groceries in open box. When I checked he was rude and challenged that I will not get any more Shopzilla deliveries.,3,would like know action complaint delivery executive brought groceries open box checked rude challenged not get shopzilla deliveries
"If something glitch from your side to late deliver or late pickup ,by message or call contact to customer Customer  service , order tracking need on whatsapp",5,something glitch side late deliver late pickup message call contact customer customer service order tracking need whatsapp
Good knowledge,4,good knowledge
Improve your services ,5,improve services
the website is not at all user friendly,5,website not user friendly
Super customer care,5,super customer care
Very nyc coustomer care details shere,5,nyc coustomer care details shere
Make refund policy easy ,1,make refund policy easy
Wrong product delivered as shown in picture. On Shopzilla site it's shows as combo pack but in delivery box body groomer is not found.   retail price on deliver items is mention rs 1495/- but Shopzilla charge me rs 2629/-. Very bad experience with Shopzilla this time.   is totally fraud. ,1,wrong product delivered shown picture shopzilla site shows combo pack delivery box body groomer not found retail price deliver items mention rs 1495 shopzilla charge rs 2629 bad experience shopzilla time totally fraud
Good ??,5,good
Why Other Language is not option in customer care call...,5,language not option customer care call
Not solved my problem ,1,not solved problem
If no brand tags are provided how can customer return the same...such sellers should be strictly dealt with... customer returns back whatever is delivered...don't harass customer or either delivery person... simple thing is click a picture of product and ask delivery person to match it ...so none will be left contradictory ,5,no brand tags provided customer return sellers strictly dealt customer returns back whatever delivered harass customer either delivery person simple thing click picture product ask delivery person match none left contradictory
Good,5,good
Please try to understand my problem ,1,please try understand problem
What Product And Accessories You Have Put Inside The Box Mentionit,5,product accessories put inside box mentionit
Why my paylater balance not adjust please adjust it immediately ,1,paylater balance not adjust please adjust immediately
Very hard to reach the customer service executive. ,5,hard reach customer service executive
Thank j,5,thank j
No,4,no
Good working ,5,good working
Very nice ,5,nice
Excellent ,5,excellent
"I'm Satisfied About His Service??????????, Well Done Brother ?? ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",5,satisfied service well done brother
washing machine received dead and no support was received from Shopzilla,1,washing machine received dead no support received shopzilla
Please be particular abot deliveries... customer also plans accordingly and orders,3,please particular abot deliveries customer also plans accordingly orders
Oo,5,oo
Gud,5,gud
Not installation work done very bad,1,not installation work done bad
Good seller not available in the app,1,good seller not available app
Delivery boy did nt come for delivery ,1,delivery boy nt come delivery
Nice,5,nice
I am happy ,5,happy
N,1,n
Good ,5,good
Connecting time with customer care executive is long ,5,connecting time customer care executive long
My query get solved the person talk with care n patience ,5,query get solved person talk care n patience
Please resolve my current issue as I have really suffered a lot due to that. Thanks.,5,please resolve current issue really suffered lot due thanks
Return and refund should be initiated immediately.,5,return refund initiated immediately
Good,4,good
"I bought this from my salary, but I couldn't enjoy that product. Please replace this product with a proper goods. ",3,bought salary enjoy product please replace product proper goods
Just don't cut the call,1,cut call
Bad look,1,bad look
Very good sarves ,5,good sarves
Good ,5,good
What you will do if I provide feedback.worst Shopzilla,1,provide feedback worst shopzilla
Very good ?? Sarvesh ,5,good sarvesh
Why free delivery stoped for plus members on less than 500 rupees orders ? It's not good.,5,free delivery stoped plus members less 500 rupees orders not good
Thanks ??,5,thanks
Good,5,good
My problem solve your employ best employee Shopzilla ,5,problem solve employ best employee shopzilla
She is very good in nature and voice is so politely.,5,good nature voice politely
Very very happy but my problem not solved,4,happy problem not solved
They don't have any valuable service for the consumers worst services.,1,valuable service consumers worst services
Refund please,5,refund please
It was very nice to talk to the customer care agent but my delivery problem was not solved ,5,nice talk customer care agent delivery problem not solved
Don't cheat customers by delivering expired products. I will circulate in social media about Shopzilla cheating customers,3,cheat customers delivering expired products circulate social media shopzilla cheating customers
Customer support is good ,5,customer support good
Pathetic service ,1,pathetic service
Delivery problem .selar don't deliver my address pin 721156.but when I buy the product then show this pin code available this product ,5,delivery problem selar deliver address pin 721156 buy product show pin code available product
Thank you,5,thank
  policy is bad,5,policy bad
Good ????????????,3,good
Very good ,5,good
Very helpful ,4,helpful
Return policy should be there for each and every product Thank you ,5,return policy every product thank
  explained me the process of claiming very well and I\u2019m happy with the resolution.His communication skill was up to the mark,5,explained process claiming well u2019m happy resolution communication skill mark
Plz solve my issue fast ,5,plz solve issue fast
I think you should improve your courier service ,5,think improve courier service
Very good ,5,good
You **ing idiots! You don\u2019t know how to look into a situation! I\u2019ve been telling I can share the images! But nobody is willing to look into it!   ,1,ing idiots u2019t know look situation u2019ve telling share images nobody willing look
Good,5,good
Talking to me discipline ,3,talking discipline
Good,5,good
Very good??,5,good
Mera order   chuka hai abhi unka   aaya,5,mera order chuka hai abhi unka aaya
Thank ,4,thank
"Delivery and pickup person preferably must pre inform the probable time of arrival, ",5,delivery pickup person preferably must pre inform probable time arrival
  hi   aapse bat krke,5,hi aapse bat krke
They are trained puppies. they do not know anything other than saying sorry. your software and systems are in shamble. High time to inspect and introspect.,1,trained puppies not know anything saying sorry software systems shamble high time inspect introspect
Thanks,5,thanks
Please take care about delivery of goods as per customers ordered product and packing. I have lunched a complain today for different product and packing that you have delivered today.,5,please take care delivery goods per customers ordered product packing lunched complain today different product packing delivered today
Your service is already excellent ,5,service already excellent
I like Custumarsupport ,5,like custumarsupport
Nothing your are serving better,5,nothing serving better
overall good to understand customer problem,5,overall good understand customer problem
satisfaction ,5,satisfaction
Good communication with customer care ,5,good communication customer care
Thank you so much sir and good job aap meri help kare iske liye thank u so Mach,5,thank much sir good job aap meri help kare iske liye thank u mach
Good,5,good
Please quickly connected to me,5,please quickly connected
Customer care   bahut acche se bat kiye I am happy ,5,customer care bahut acche se bat kiye happy
Still my order not received u blady chiller fellow asking feedback ,1,still order not received u blady chiller fellow asking feedback
Hamble Nature Staff,5,hamble nature staff
Poor response and cancellation service of Shopzilla ,3,poor response cancellation service shopzilla
custemer care was very good,5,custemer care good
Very long tike taken,1,long tike taken
She is very excellent??,5,excellent
I have tried several times to upload the photos of the damaged product but I'm unable to do the same.please make it easy to raise our concern regarding the same.,4,tried several times upload photos damaged product unable please make easy raise concern regarding
My problem not solved and wrong msg conveyed ,1,problem not solved wrong msg conveyed
Very good customer care  support ,5,good customer care support
I'm so happy ,5,happy
Very nice ?? good good ,5,nice good good
I like the way of talking very much......and her way of understanding  my problem was really nice.....i have experienced a very good time with her...,5,like way talking much way understanding problem really nice experienced good time
My issue was not solved ,5,issue not solved
"In my order it's shown that OPD facility is there, but executive told me in his system shown OPD facility is not available. How it's possible? When I have ordered the product, it's shown about OPD facility, even if I would reorder it then its also showing about OPD facility. Then how could he denied that OPD it's not available. Totally disappointed with him. ",2,order shown opd facility executive told system shown opd facility not available possible ordered product shown opd facility even would reorder also showing opd facility could denied opd not available totally disappointed
"Sar,mam collecd my order ",1,sar mam collecd order
Product is not ok kindly refund my money ,1,product not ok kindly refund money
Great resolver ,5,great resolver
Good ,5,good
Very good ,5,good
As a big e-commerce platform.The service must be on time.You guys have to answer our queries with valid reasons when you are explaining the reason to delay. Due to such a bad delivery service and not having easily customer support availability why a normal customer will suffer.As my order is already delayed almost 5days.So mandatory action should taken against the delivery partner. We must receive compensation from the Shopzilla. Due to there lack of service.,3,big e commerce platform service must time guys answer queries valid reasons explaining reason delay due bad delivery service not easily customer support availability normal customer suffer order already delayed almost 5days mandatory action taken delivery partner must receive compensation shopzilla due lack service
No thanks ,5,no thanks
Advisor was not able to understand my concern. Poor in framing the answers. Lack of confidence. Advisor used 'matlab' in between the call. Need to work on the call quality. ,1,advisor not able understand concern poor framing answers lack confidence advisor used matlab call need work call quality
Not received product and showing delivered,1,not received product showing delivered
Good girl ,5,good girl
Issue not solved,1,issue not solved
Nice ??,5,nice
It was very good experience with the executive of Shopzilla. His way to communicate was too polite.,5,good experience executive shopzilla way communicate polite
Best customer service experience,5,best customer service experience
I am Bengali and there I fund no one who support me in my language.,5,bengali fund no one support language
"Try to keep all information on CRM, and if required contact with delivery agent",1,try keep information crm required contact delivery agent
Nice talk,5,nice talk
Very good ,5,good
Good ,5,good
Pls. Specifically mention on product image that open box only delivery. To avoid future return complication.,5,pls specifically mention product image open box delivery avoid future return complication
Hamara parsal nahi mila ha,1,hamara parsal nahi mila ha
Plzzzz make sure you send that product is good my product is missing and still i havnt receive my refund because your stupid policy if product missing in that case what is the fault of custmer please send me my refund fast then i buy my product another shop ,5,plzzzz make sure send product good product missing still havnt receive refund stupid policy product missing case fault custmer please send refund fast buy product another shop
Support is Co operative,5,support co operative
Good support in less time,5,good support less time
Good ,5,good
Good Support ,5,good support
Some diturbance on background came but executive is very understanding so problem resolved please try to improve network,5,diturbance background came executive understanding problem resolved please try improve network
Good information ,1,good information
Pathetic packaging provided by Shopzilla this time very dispointed with product packaging.. it was open from inside ??,5,pathetic packaging provided shopzilla time dispointed product packaging open inside
Not good ,1,not good
Good ,4,good
Thanks ,5,thanks
Iam Happy ,5,iam happy
good costmer service ,5,good costmer service
No amazing service,5,no amazing service
Ty so much fir helping my products ,5,ty much fir helping products
Good customer service ,5,good customer service
Nice ,5,nice
Bahut achcha   karke thanks Shopzilla.,4,bahut achcha karke thanks shopzilla
Very poor experience will complain,1,poor experience complain
Nice ,5,nice
Nice mam problem solve,5,nice mam problem solve
Transparency required in information,1,transparency required information
Good job Shopzilla ??,5,good job shopzilla
Very good ,5,good
Good,2,good
Good service,5,good service
There was some technical issue with customer support.. but last got a proper connection.. thank you,5,technical issue customer support last got proper connection thank
Nothing ,4,nothing
Thanks,5,thanks
Good work????,5,good work
  sent different product with different size and I got charged Rs. 50 for returning wrong product.  Really disappointed. ,4,sent different product different size got charged rs 50 returning wrong product really disappointed
Great support by executive ,5,great support executive
Good ??,5,good
Agent is very patient to solve the problem and I appreciate her work. Thank you ,5,agent patient solve problem appreciate work thank
Very poor delivery network and handles,1,poor delivery network handles
Awesome support from customer support ,5,awesome support customer support
"All good, just keep doing as you are.",5,good keep
"Although the first level of customer support is good, unelss it is backed with the right information on the product listing/order page and the delivery experience, it wouldn't help.",5,although first level customer support good unelss backed right information product listing order page delivery experience help
I lik the customer service ,5,lik customer service
Too much polite behaviour ,5,much polite behaviour
Great experience ,5,great experience
Customer support representative didn't have my answer....Pathetic service by Shopzilla this time,2,customer support representative answer pathetic service shopzilla time
"Don't permanent block customers paylater I'd without customer's mistake,",5,permanent block customers paylater without customer mistake
Best,5,best
"He was helpful, ????",5,helpful
"The guy like Azhad is an asset to your organisation. When all the higher management of Shopzilla CS didn't even bother to address my query, this guy atleast gave me hope that my issue shall get fixed. I have been facing this issue since 3 days now, but Shopzilla SIMPLY DON'T CARE. POOR Customer service MANAGEMENT, but HAT'S OFF TO AZHAD.  .",5,guy like azhad asset organisation higher management shopzilla cs even bother address query guy atleast gave hope issue shall get fixed facing issue since 3 days shopzilla simply care poor customer service management hat azhad
Good work! Just get my things to me soon.,5,good work get things soon
Very good,5,good
Super sarvice ,5,super sarvice
Hum ko exchange value   Nehi mila,1,hum ko exchange value nehi mila
Instantly solve my problems ,5,instantly solve problems
I loved the heplful support,5,loved heplful support
Most of the time call get disconnected by Shopzilla executive and they do not bother to call after they intentionally disconnect the call,5,time call get disconnected shopzilla executive not bother call intentionally disconnect call
I am happy and Shopzilla is best ,4,happy shopzilla best
Very bad,1,bad
"Over all satisfied, great!",5,satisfied great
When u send refund that only tell,4,u send refund tell
Try to acquire exact info from delivery agent ,4,try acquire exact info delivery agent
Bhai n 10 star dedo ,5,bhai n 10 star dedo
Installation denied,1,installation denied
Requested for return but no updatetill now...it show only that we are processing your request ,3,requested return no updatetill show processing request
It's ok,4,ok
Thanks,5,thanks
Thankuu ,5,thankuu
Awesome service provided by Sachin. He assisted me in the best possible Way. 1000 stars to you. A real asset for Shopzilla. Stay blessed and have a great a day ahead.. ,5,awesome service provided sachin assisted best possible way 1000 stars real asset shopzilla stay blessed great day ahead
Great,5,great
Customer care ki batchit achhi thi but   adhura raha,4,customer care ki batchit achhi thi adhura raha
Let's meat in consumer court ,4,let meat consumer court
"She is very helpful,sweet nd kind person. Thank you ????",5,helpful sweet nd kind person thank
Very nice ??,2,nice
Ease the return process,3,ease return process
Solve my issue regarding earphone return ,5,solve issue regarding earphone return
Delivery agent to be made responsible ,5,delivery agent made responsible
Very good ,5,good
I m happy thankyou Shopzilla,5,happy thankyou shopzilla
Too much time taking to resolve the problem. Too bad.,1,much time taking resolve problem bad
Shopzilla is just piece of SHITMost pathetic and RIDICULOUS process ever.,3,shopzilla piece shitmost pathetic ridiculous process ever
Dubliket hair oil aya hai,1,dubliket hair oil aya hai
Customer support executive was quick precise and solved my issue quickly thank you once again,5,customer support executive quick precise solved issue quickly thank
Sujit ,1,sujit
3rd class service. cancelled my order number of times ,1,3rd class service cancelled order number times
Okay,4,okay
"Keep Doing Fast Everything (Delivery, Exchange & Return). ",5,keep fast everything delivery exchange return
No,5,no
My experience is very good because coustomer care is very helpful.,5,experience good coustomer care helpful
Nice coustomer care mam good she was slove my problem intanst Shopzilla thanks ????,5,nice coustomer care mam good slove problem intanst shopzilla thanks
Not to slove my problem ,2,not slove problem
The product you show on website and the product we get should be same.,4,product show website product get
Good,5,good
Thank u,4,thank u
Supper,4,supper
Good exucativd,5,good exucativd
Not connected with senior team ,1,not connected senior team
Thank you sir for solving my return problem,5,thank sir solving return problem
Nice to understand me,5,nice understand
Nice customer service ,5,nice customer service
Good ,5,good
Great behaviour of customer support executive ,5,great behaviour customer support executive
God,5,god
Diye hue time per delhvery   costomer jarurat me hi order kerta h or aap usko time per nahi delver kerte aage se sedha dukaan se hi lunga online band ,1,diye hue time per delhvery costomer jarurat hi order kerta h aap usko time per nahi delver kerte aage se sedha dukaan se hi lunga online band
Osmmmm,5,osmmmm
Your grocery packaging is poorPlease improve it,4,grocery packaging poorplease improve
Very good ,5,good
Present Support executive help but according previous response was very dissatisfied to resolve solution,3,present support executive help according previous response dissatisfied resolve solution
Quick response on question ,5,quick response question
Excellent thanks sir,5,excellent thanks sir
So patheic service.,1,patheic service
Very good service.,5,good service
Very nice ??,5,nice
My order was delayed more than 10 days...still not delivered ,1,order delayed 10 days still not delivered
Policy is like supreme court order. If seller is sending bad quality of product. Shopzilla must take action on them. But here customer have to bear loss. ,1,policy like supreme court order seller sending bad quality product shopzilla must take action customer bear loss
"No,  thanks ",4,no thanks
"Very bad service of Shopzilla, prepaid shipment is getting delivered without otp and there is no solution.",1,bad service shopzilla prepaid shipment getting delivered without otp no solution
NYC to talk with customer executive ,5,nyc talk customer executive
She listen my issue carefully and resolve me in wonderful way... ????,5,listen issue carefully resolve wonderful way
I am happy with the support received.,5,happy support received
Thanks ????,5,thanks
It takes very long day for resolving issue,1,takes long day resolving issue
Happy ,5,happy
Need minimum time to resolve,5,need minimum time resolve
nice,5,nice
Plz blacklist company which is not having return or replacement policy they cheat us because there product is not genuine ,5,plz blacklist company not return replacement policy cheat us product not genuine
Do item delivery fast.,3,item delivery fast
Be happy always ,5,happy always
"My experience with executive was very pleasent and fruitful,from my end nothing more required to change,good",5,experience executive pleasent fruitful end nothing required change good
Worst experience going with Shopzilla. This is very frustrating ,5,worst experience going shopzilla frustrating
thank u for ur effort to help your customers ??,5,thank u ur effort help customers
Good job ,5,good job
Very good behaviour.,5,good behaviour
Fine ,5,fine
INSTALLATION SERVICE IS PATHETIC. PL SHARE THE DIRECT CONTACT NUMBER OF VENDORS/ TECHNICIANS,1,installation service pathetic pl share direct contact number vendors technicians
Overall interaction was good ,5,overall interaction good
Good service ,5,good service
Call disconnected ,1,call disconnected
"I placed the order gift card order worth 20k on 5th August and the order is still pending, and your customer support executive gave me the wrong information that my refund will be processed within 24 hours and it\u2019s been more than 3 days, worst customer support ever",1,placed order gift card order worth 20k 5th august order still pending customer support executive gave wrong information refund processed within 24 hours u2019s 3 days worst customer support ever
Ok,5,ok
Very good ,5,good
Very slow delivery & work,1,slow delivery work
One Assist Policy not received. Very poor service,3,one assist policy not received poor service
Others ,4,others
Support services are good,5,support services good
Very good,5,good
Provide us fast delivery Please ?? ,5,provide us fast delivery please
My issue is not resolved yet ,3,issue not resolved yet
** Shopzilla,1,shopzilla
The product which I received is wrong from which I ordered and placed order for refund   told item will be picked up on 11 August but yet know one came to pickup the item and I contacted customer support they told that you have mentioned wrong information about the product return please can the return request and again place fresh return request now I am waiting for the same nd also else before your customer service executive told it will be picked up this the case what should customer do,5,product received wrong ordered placed order refund told item picked 11 august yet know one came pickup item contacted customer support told mentioned wrong information product return please return request place fresh return request waiting nd also else customer service executive told picked case customer
Sarvice note good,1,sarvice note good
Not get my probl,1,not get probl
yes,4,yes
Very good ,5,good
Good ????,4,good
Thanks customer care ,5,thanks customer care
Good ,5,good
Good service,5,good service
Good ,1,good
"Good Experience, executive are helpfull ",5,good experience executive helpfull
Theek hai ,5,theek hai
Worst,1,worst
Executive is excellent ,5,executive excellent
Please my refund complete. ??????,5,please refund complete
"If any damaged/expired/wrong item is received by customer because some time delivery Agent doesn't wait & assure us that they will return/replace items if any problem occurs, so resolve this aspect.",5,damaged expired wrong item received customer time delivery agent wait assure us return replace items problem occurs resolve aspect
Thank you ,5,thank
should be resolve costumer issues,1,resolve costumer issues
Good,5,good
Good,4,good
Very good person ,5,good person
Very good behaviour of personnel ,5,good behaviour personnel
Exilent ,5,exilent
Mera product return kijiye,1,mera product return kijiye
Resolve my issue soon ,5,resolve issue soon
Thank you so much Sir Have a good day ????????????,5,thank much sir good day
Very nice ????,1,nice
The customer executive actually helps me in an effective manner.,5,customer executive actually helps effective manner
Thank you so much sir for resolving  my problem ,5,thank much sir resolving problem
no improvement,5,no improvement
"Had wonderful quarry with executive, said issue will be resolved. Good. ",5,wonderful quarry executive said issue resolved good
Thq sir ,5,thq sir
"I still not satisfied with my query, I still not got my refund  amount , it's been 17 days",1,still not satisfied query still not got refund amount 17 days
"My problem has not be solved,I have no more energy left for fighting for a product which was delivered wrongly to me.. which is not my fault.Shopzilla should learn from SuperBuy for quality check and costumer service.. really disappointed plus since it's a small amount i hv no other go than to leave it that's it",1,problem not solved no energy left fighting product delivered wrongly not fault shopzilla learn superbuy quality check costumer service really disappointed plus since small amount hv no go leave
Excellent,5,excellent
Don't send duplicate product.. plz send product with its brand cover ,4,send duplicate product plz send product brand cover
Change dilivery time,4,change dilivery time
Excellent customer service ,5,excellent customer service
Please improve your packaging services. Every time min 1-2 product found missing or damaged.I don't want return my money but want geniune product.,4,please improve packaging services every time min 1 2 product found missing damaged want return money want geniune product
He is very supportive tonsalve my issue.,5,supportive tonsalve issue
never sell bad item to customer,5,never sell bad item customer
